Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10- 9-2023 10:55AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  vt100.ngd
output file: vt100_pad.csv
Part type:   xc9536
Speed grade: -15
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,HSYNC,I/O,I/O,BIDIR,,,,,,,,,
P2,A15,I,I/O,INPUT,,,,,,,,,
P3,WR,I,I/O,INPUT,,,,,,,,,
P4,RD,I,I/O,INPUT,,,,,,,,,
P5,pclk,GCK/I,I/O/GCK1,,,,,,,,,,
P6,LOADDAT,I/O,I/O/GCK2,BIDIR,,,,,,,,,
P7,LOADCOLB,I/O,I/O/GCK3,BIDIR,,,,,,,,,
P8,LOADAD,I/O,I/O,BIDIR,,,,,,,,,
P9,CCLK,O,I/O,OUTPUT,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,DE,I,I/O,INPUT,,,,,,,,,
P12,HS,I,I/O,INPUT,,,,,,,,,
P13,VS,I,I/O,INPUT,,,,,,,,,
P14,LOADSR,I/O,I/O,BIDIR,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,CRTCOE,O,I/O,OUTPUT,,,,,,,,,
P19,WE_RAM,O,I/O,OUTPUT,,,,,,,,,
P20,LOADCHR,I/O,I/O,BIDIR,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,CHAROE,O,I/O,OUTPUT,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,DISPEN,I/O,I/O,BIDIR,,,,,,,,,
P25,OE_ADR,O,I/O,OUTPUT,,,,,,,,,
P26,LOADCOL,I/O,I/O,BIDIR,,,,,,,,,
P27,OE_DAT,O,I/O,OUTPUT,,,,,,,,,
P28,OE_RAM,O,I/O,OUTPUT,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,LCHRLINE,I/O,I/O/GTS1,BIDIR,,,,,,,,,
P43,PIXCLKO,O,I/O,OUTPUT,,,,,,,,,
P44,VSYNC,I/O,I/O,BIDIR,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


